index,employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,jobinvolvement,performancerating,surveydate,attrition,retirementdate,retirementtype,resignationreason,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,infodate
7429,1858,2.0,3.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-11-14 00:00:00,Resignation,Others,29,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6.0,12,0,5.0,2,3,0,2016-12-31 00:00:00
7430,1858,2.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-11-14 00:00:00,Resignation,Others,29,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6.0,12,0,5.0,2,3,0,2015-12-31 00:00:00
7431,1858,2.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-11-14 00:00:00,Resignation,Others,29,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6.0,12,0,5.0,2,3,0,2016-12-31 00:00:00
7472,1869,1.0,4.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-25 00:00:00,Fired,,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,2015-12-31 00:00:00
7473,1869,1.0,4.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-25 00:00:00,Fired,,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,2016-12-31 00:00:00
7474,1869,1.0,4.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-25 00:00:00,Fired,,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,2015-12-31 00:00:00
7475,1869,1.0,4.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-25 00:00:00,Fired,,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1.0,15,1,1.0,5,1,0,2016-12-31 00:00:00
7488,1873,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-23 00:00:00,Resignation,Stress,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,2015-12-31 00:00:00
7489,1873,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-23 00:00:00,Resignation,Stress,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,2016-12-31 00:00:00
7490,1873,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-23 00:00:00,Resignation,Stress,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,2015-12-31 00:00:00
7491,1873,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-23 00:00:00,Resignation,Stress,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9.0,11,0,3.0,3,1,0,2016-12-31 00:00:00
7496,1875,3.0,3.0,2.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2015-12-31 00:00:00
7497,1875,3.0,3.0,2.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2016-12-31 00:00:00
7498,1875,3.0,3.0,2.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2015-12-31 00:00:00
7499,1875,3.0,3.0,2.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-02-08 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1.0,12,0,2.0,6,2,0,2016-12-31 00:00:00
7500,1876,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-17 00:00:00,Fired,,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,2015-12-31 00:00:00
7501,1876,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-17 00:00:00,Fired,,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,2016-12-31 00:00:00
7502,1876,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-17 00:00:00,Fired,,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,2015-12-31 00:00:00
7503,1876,4.0,4.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-17 00:00:00,Fired,,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1.0,13,1,1.0,2,1,0,2016-12-31 00:00:00
7512,1879,2.0,3.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-30 00:00:00,Resignation,Stress,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2015-12-31 00:00:00
7513,1879,2.0,3.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-30 00:00:00,Resignation,Stress,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2016-12-31 00:00:00
7514,1879,2.0,3.0,4.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-30 00:00:00,Resignation,Stress,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2015-12-31 00:00:00
7515,1879,2.0,3.0,4.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-30 00:00:00,Resignation,Stress,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0.0,13,0,4.0,3,3,0,2016-12-31 00:00:00
7516,1880,2.0,4.0,2.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-05-05 00:00:00,Resignation,Others,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,2015-12-31 00:00:00
7517,1880,2.0,4.0,2.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-05-05 00:00:00,Resignation,Others,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,2016-12-31 00:00:00
7518,1880,2.0,4.0,2.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-05-05 00:00:00,Resignation,Others,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,2015-12-31 00:00:00
7519,1880,2.0,4.0,2.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-05-05 00:00:00,Resignation,Others,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4.0,11,0,10.0,3,7,1,2016-12-31 00:00:00
7524,1882,4.0,1.0,1.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-15 00:00:00,Resignation,Stress,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2015-12-31 00:00:00
7525,1882,4.0,1.0,1.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-15 00:00:00,Resignation,Stress,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2016-12-31 00:00:00
7526,1882,4.0,1.0,1.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-15 00:00:00,Resignation,Stress,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2015-12-31 00:00:00
7527,1882,4.0,1.0,1.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-15 00:00:00,Resignation,Stress,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7.0,11,0,8.0,3,2,2,2016-12-31 00:00:00
7580,1896,3.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-06-08 00:00:00,Resignation,Others,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,2015-12-31 00:00:00
7581,1896,3.0,2.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-06-08 00:00:00,Resignation,Others,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,2016-12-31 00:00:00
7582,1896,3.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-06-08 00:00:00,Resignation,Others,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,2015-12-31 00:00:00
7583,1896,3.0,2.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-06-08 00:00:00,Resignation,Others,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1.0,15,1,1.0,3,1,0,2016-12-31 00:00:00
7600,1901,4.0,2.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-26 00:00:00,Resignation,Others,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,2015-12-31 00:00:00
7601,1901,4.0,2.0,4.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-03-26 00:00:00,Resignation,Others,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,2016-12-31 00:00:00
7602,1901,4.0,2.0,4.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-26 00:00:00,Resignation,Others,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,2015-12-31 00:00:00
7603,1901,4.0,2.0,4.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-03-26 00:00:00,Resignation,Others,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1.0,15,1,1.0,3,1,0,2016-12-31 00:00:00
7604,1902,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-24 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,2015-12-31 00:00:00
7605,1902,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-24 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,2016-12-31 00:00:00
7606,1902,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-24 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,2015-12-31 00:00:00
7607,1902,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-24 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1.0,11,0,1.0,2,1,0,2016-12-31 00:00:00
7620,1906,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-23 00:00:00,Resignation,Salary,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2015-12-31 00:00:00
7621,1906,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-23 00:00:00,Resignation,Salary,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2016-12-31 00:00:00
7622,1906,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-23 00:00:00,Resignation,Salary,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2015-12-31 00:00:00
7623,1906,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-23 00:00:00,Resignation,Salary,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2016-12-31 00:00:00
7628,1908,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-20 00:00:00,Resignation,Salary,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2015-12-31 00:00:00
7629,1908,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-20 00:00:00,Resignation,Salary,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2016-12-31 00:00:00
7630,1908,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-20 00:00:00,Resignation,Salary,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2015-12-31 00:00:00
7631,1908,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-20 00:00:00,Resignation,Salary,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2016-12-31 00:00:00
7648,1913,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-12-07 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2015-12-31 00:00:00
7649,1913,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-12-07 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2016-12-31 00:00:00
7650,1913,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-12-07 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2015-12-31 00:00:00
7651,1913,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-12-07 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2016-12-31 00:00:00
7672,1919,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Stress,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2015-12-31 00:00:00
7673,1919,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Stress,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2016-12-31 00:00:00
7674,1919,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Stress,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2015-12-31 00:00:00
7675,1919,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-29 00:00:00,Resignation,Stress,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2016-12-31 00:00:00
7684,1922,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-05-18 00:00:00,Resignation,Stress,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2015-12-31 00:00:00
7685,1922,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-05-18 00:00:00,Resignation,Stress,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2016-12-31 00:00:00
7686,1922,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-05-18 00:00:00,Resignation,Stress,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2015-12-31 00:00:00
7687,1922,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-05-18 00:00:00,Resignation,Stress,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2016-12-31 00:00:00
7692,1924,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-12 00:00:00,Resignation,Stress,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2015-12-31 00:00:00
7693,1924,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-12 00:00:00,Resignation,Stress,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2016-12-31 00:00:00
7694,1924,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-12 00:00:00,Resignation,Stress,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2015-12-31 00:00:00
7695,1924,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-12 00:00:00,Resignation,Stress,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2016-12-31 00:00:00
7728,1933,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-08-18 00:00:00,Resignation,Salary,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2015-12-31 00:00:00
7729,1933,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-08-18 00:00:00,Resignation,Salary,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2016-12-31 00:00:00
7730,1933,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-08-18 00:00:00,Resignation,Salary,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2015-12-31 00:00:00
7731,1933,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-08-18 00:00:00,Resignation,Salary,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2016-12-31 00:00:00
7748,1938,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-18 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2015-12-31 00:00:00
7749,1938,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-18 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2016-12-31 00:00:00
7750,1938,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-18 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2015-12-31 00:00:00
7751,1938,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-18 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2016-12-31 00:00:00
7772,1944,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-16 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2015-12-31 00:00:00
7773,1944,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-16 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2016-12-31 00:00:00
7774,1944,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-16 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2015-12-31 00:00:00
7775,1944,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-16 00:00:00,Resignation,Others,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2016-12-31 00:00:00
7776,1945,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-16 00:00:00,Resignation,Stress,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2015-12-31 00:00:00
7777,1945,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-04-16 00:00:00,Resignation,Stress,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2016-12-31 00:00:00
7778,1945,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-16 00:00:00,Resignation,Stress,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2015-12-31 00:00:00
7779,1945,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-04-16 00:00:00,Resignation,Stress,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2016-12-31 00:00:00
7824,1957,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-05-16 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2015-12-31 00:00:00
7825,1957,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-05-16 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2016-12-31 00:00:00
7826,1957,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-05-16 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2015-12-31 00:00:00
7827,1957,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-05-16 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2016-12-31 00:00:00
7840,1961,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-09 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2015-12-31 00:00:00
7841,1961,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-10-09 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2016-12-31 00:00:00
7842,1961,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-09 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2015-12-31 00:00:00
7843,1961,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-10-09 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2016-12-31 00:00:00
7844,1962,1.0,4.0,3.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-06-28 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,2015-12-31 00:00:00
