ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NoPaidPerc
1640,808,0.8774011561219413,180057,68,8,3,5477,5,6,Mortgage,Bachelor,Single,5,0.23015077
1641,507,0.8863448291267547,94022,20,7,3,14312,4,9,Own,Bachelor,Married,0,0.23992811
1642,789,0.879911276261292,98920,18,6,18,17956,19,21,Mortgage,Bachelor,Widowed,7,0.19522873
1643,472,0.5480800262134227,149181,61,3,3,12865,15,11,Mortgage,Bachelor,Single,22,0.30518258
1644,398,0.28787516564345295,88206,59,4,5,1784,16,10,Own,Bachelor,Divorced,2,0.2797605
1645,627,0.09559801795273926,80588,74,4,14,14337,17,4,Mortgage,PhD,Widowed,1,0.19195813
1646,537,0.5636059841857132,45112,21,2,11,12291,5,21,Mortgage,PhD,Married,24,0.29867095
1647,788,0.17887794670473978,107279,88,3,16,11982,0,1,Mortgage,Bachelor,Widowed,14,0.18597429
1648,801,0.33491434451317015,198762,85,7,15,10307,15,3,Mortgage,Bachelor,Married,28,0.32460088
1649,820,0.9071657467102276,103252,51,1,14,17795,6,24,Mortgage,Bachelor,Married,28,0.34560552
1650,640,0.23894010086120931,87849,72,7,1,15588,9,19,Own,Bachelor,Single,3,0.26442644
1651,492,0.532114243441864,150679,33,6,19,2921,1,8,Rent,Bachelor,Widowed,2,0.19329478
1652,532,0.7902738352050853,50786,74,2,17,3536,2,27,Rent,Masters,Single,29,0.31756347
1653,558,0.09123341019148701,81158,66,7,10,11641,6,25,Mortgage,PhD,Divorced,10,0.21244308
1654,746,0.4542427423237049,75262,65,3,11,17450,6,11,Own,Masters,Single,27,0.26401785
1655,569,0.6299488250808877,186630,44,9,18,1283,11,7,Mortgage,Masters,Married,17,0.24947631
1656,755,0.5451555357268075,179588,57,2,16,16091,12,26,Rent,High School,Single,18,0.25465986
1657,388,0.4662201723475765,97640,89,8,10,13262,12,21,Mortgage,PhD,Single,29,0.2861504
1658,445,0.9786380454891401,31195,70,6,4,7203,19,26,Rent,Bachelor,Divorced,9,0.27935112
1659,384,0.7539144069721999,189875,67,4,17,16558,5,20,Rent,Bachelor,Married,2,0.29341272
1660,483,0.2007548584114437,128016,42,7,12,4282,14,28,Own,PhD,Married,18,0.3056952
1661,706,0.12523389572979815,156050,70,2,15,7239,15,21,Mortgage,PhD,Married,24,0.29716522
1662,561,0.15667449871995376,45075,18,5,5,19671,9,6,Own,High School,Single,28,0.22169678
1663,694,0.6614861728788466,111236,45,5,9,8816,4,12,Mortgage,PhD,Divorced,3,0.20072523
1664,643,0.7948097847190466,21927,76,0,17,7742,0,16,Own,High School,Widowed,9,0.26396075
1665,393,0.24380233982278499,126605,86,8,6,10402,12,2,Rent,High School,Single,14,0.21425502
1666,394,0.9660954896224571,118545,29,2,18,6729,7,2,Rent,High School,Single,28,0.33181232
1667,839,0.7098234479707742,68573,26,6,8,10475,9,10,Rent,PhD,Divorced,4,0.25833458
1668,416,0.5211319174903781,98564,41,0,17,2319,19,8,Rent,PhD,Single,2,0.28726995
1669,545,0.44758803880158304,53747,60,5,1,19868,19,23,Own,PhD,Divorced,3,0.27059764
1670,826,0.6175998732321542,64171,79,2,12,7958,12,29,Rent,Masters,Widowed,29,0.20567134
1671,813,0.8533490830797296,189918,24,4,19,14043,3,20,Rent,PhD,Widowed,7,0.21181901
1672,510,0.8136856452401086,64509,67,0,3,16141,17,6,Mortgage,High School,Married,26,0.28566107
1673,329,0.0528909995957868,85347,66,9,7,15196,17,9,Rent,Masters,Married,1,0.18326223
1674,565,0.7719132381570822,195233,47,1,19,15651,5,0,Mortgage,High School,Divorced,3,0.24572197
1675,463,0.22549167375828327,36223,18,1,17,6165,0,2,Rent,High School,Single,1,0.22052418
1676,723,0.9411040602798253,57969,22,8,9,4053,6,19,Rent,Bachelor,Single,14,0.28840786
1677,687,0.4904931639142135,81746,49,4,10,12354,4,3,Rent,PhD,Married,5,0.29190043
1678,688,0.151997321678352,189457,20,1,5,2523,4,6,Rent,Masters,Widowed,15,0.0
1679,507,0.2367690240815501,25031,84,4,4,15948,5,2,Rent,Bachelor,Single,24,0.24835943
1680,534,0.03602437073943465,138642,55,3,16,1653,3,11,Own,PhD,Married,11,0.2808251
1681,444,0.9880035643471249,72551,27,5,1,5213,17,4,Mortgage,High School,Single,10,0.22350334
1682,748,0.42590725574362875,136424,27,2,18,10196,3,14,Rent,High School,Widowed,7,0.1546729
1683,692,0.27350796734465566,39986,33,6,14,7683,3,11,Mortgage,PhD,Married,23,0.30901828
1684,676,0.501004688524156,180737,41,4,16,1724,2,23,Own,Bachelor,Married,29,0.36615917
1685,799,0.5266469068826859,195681,82,9,8,8410,10,7,Mortgage,High School,Married,5,0.20307434
1686,498,0.1461898411981699,161761,59,0,17,10119,6,17,Mortgage,Masters,Single,19,0.24491785
1687,320,0.33940849006191964,86767,23,8,17,14449,17,17,Mortgage,Bachelor,Widowed,23,0.19872382
1688,580,0.976478200567643,95135,89,1,12,10331,1,18,Own,PhD,Divorced,6,0.3374116
1689,571,0.7102508432910141,62972,85,3,11,17230,7,19,Rent,Masters,Single,2,0.2915554
1690,334,0.48134499962256694,94773,55,7,1,10913,18,5,Own,Bachelor,Widowed,24,0.23722737
1691,402,0.9884044949227516,153364,84,6,6,2950,13,26,Own,PhD,Widowed,9,0.28855184
1692,465,0.2598938518582544,50821,79,5,12,9573,16,1,Own,Masters,Married,4,0.27619347
1693,507,0.9915487453230442,123813,53,1,11,3979,14,9,Rent,Masters,Divorced,18,0.24569522
1694,793,0.3088643878203402,65172,84,0,19,16383,3,26,Mortgage,High School,Divorced,3,0.22526106
1695,619,0.7426719080065001,194662,63,7,10,9302,16,23,Mortgage,Masters,Widowed,29,0.22916427
1696,391,0.39592467911423745,118718,19,5,1,18387,6,21,Own,Bachelor,Single,7,0.22441629
1697,407,0.832884164166567,123589,58,1,17,3401,18,23,Own,Masters,Married,21,0.32777566
1698,652,0.7175840751116089,172968,24,6,10,18102,19,24,Mortgage,PhD,Married,0,0.219816
1699,411,0.6758534068165668,70316,56,1,14,8390,7,7,Own,High School,Married,8,0.29159188
1700,453,0.956982627831713,168163,31,7,11,5116,4,5,Mortgage,Bachelor,Divorced,14,0.2414957
1701,730,0.13405317470356937,55495,75,5,7,8992,15,12,Rent,Bachelor,Married,4,0.2987829
1702,310,0.08972551275091123,25945,47,2,0,15490,9,4,Own,High School,Divorced,16,0.19154727
1703,453,0.9533575863204579,162061,29,2,18,4365,18,12,Mortgage,High School,Single,11,0.2903984
1704,395,0.8424668804613872,143993,71,1,4,3273,13,2,Rent,Masters,Divorced,20,0.2265592
1705,581,0.38495009584251216,161176,56,6,5,7683,17,29,Rent,PhD,Married,26,0.2786121
1706,497,0.15457999951990042,123035,70,6,0,15743,16,0,Own,High School,Widowed,22,0.0
1707,709,0.4283230753506194,190562,89,1,11,17380,9,28,Own,PhD,Married,20,0.33569515
1708,799,0.3554479359658176,23947,68,8,7,7345,13,9,Mortgage,PhD,Married,27,0.31124514
1709,778,0.671714039802635,120478,26,4,0,3729,3,17,Rent,PhD,Single,0,0.2548613
1710,638,0.6907272470321875,120307,38,5,14,14464,5,18,Mortgage,Bachelor,Married,13,0.31460437
1711,479,0.5791911791889641,51568,77,1,0,15134,0,8,Own,High School,Single,17,0.27708566
1712,473,0.06182127249085845,121031,86,2,12,3940,8,17,Rent,PhD,Widowed,25,0.1655505
1713,722,0.5558007945606517,93625,85,7,13,6312,2,15,Own,PhD,Widowed,12,0.24496005
1714,788,0.19237937277075245,78323,22,7,12,6997,1,12,Own,High School,Divorced,24,0.20571075
1715,386,0.3625585824784274,20905,57,5,6,5564,9,4,Rent,High School,Single,23,0.23687924
1716,443,0.07307090970408925,189257,57,1,4,2365,4,25,Own,High School,Divorced,5,0.21080998
1717,327,0.579057419003986,60274,42,1,14,11731,4,25,Rent,Masters,Divorced,26,0.23107655
1718,790,0.9119978356991796,195476,30,4,16,11469,1,10,Rent,Bachelor,Widowed,1,0.17618993
1719,395,0.47429306597691956,190789,67,9,6,15229,12,16,Own,Bachelor,Married,16,0.31093693
1720,787,0.488015611253263,124740,48,4,2,17440,9,15,Mortgage,PhD,Single,14,0.24565974
1721,489,0.4788718009428513,118915,81,3,19,11226,9,23,Own,High School,Divorced,16,0.27527532
1722,811,0.5823279316940576,166132,44,4,11,4487,16,25,Rent,High School,Married,20,0.25581133
1723,360,0.05262214305515722,73292,30,4,1,12918,0,23,Own,PhD,Widowed,5,0.19673446
1724,304,0.500397718511665,171612,29,3,18,4318,0,0,Mortgage,High School,Married,23,0.27311867
1725,766,0.6165694533117583,21342,56,2,10,13416,14,16,Rent,Masters,Divorced,24,0.24175465
1726,458,0.056195128292995444,129735,87,9,5,17314,0,25,Mortgage,PhD,Married,26,0.26328468
1727,711,0.9900958460068526,90685,41,6,2,16052,10,20,Mortgage,Masters,Widowed,18,0.16199908
1728,590,0.39330574475723035,194696,71,0,12,10219,7,12,Own,Bachelor,Widowed,22,0.26848
1729,598,0.5179288821977704,64080,26,1,15,9436,18,0,Own,PhD,Single,23,0.2686957
1730,781,0.43953908087698423,64950,61,9,6,10872,13,13,Mortgage,High School,Married,5,0.21289407
1731,783,0.4083705824326951,33256,39,1,5,13796,0,12,Own,Masters,Married,16,0.26859975
1732,555,0.25345933970820056,175697,80,6,17,19571,4,22,Rent,Masters,Single,2,0.20783935
1733,848,0.8314761307806399,193052,75,6,18,12040,2,16,Own,High School,Married,14,0.31073067
1734,818,0.37298068347857793,146617,29,7,6,4115,19,20,Own,PhD,Married,9,0.2906028
1735,346,0.5287451590412242,158129,28,0,9,12813,10,12,Mortgage,Bachelor,Widowed,5,0.2623071
1736,562,0.8262901890940406,55526,71,1,2,19614,6,11,Rent,PhD,Widowed,14,0.22969532
1737,571,0.7945263392445192,149298,70,0,10,4946,3,15,Mortgage,Bachelor,Divorced,9,0.32379746
1738,814,0.35219647934725795,107569,85,9,12,8123,9,1,Mortgage,PhD,Widowed,1,0.15563354
1739,308,0.7260751819788408,83920,84,7,9,16858,18,13,Rent,Masters,Single,0,0.27597925
1740,527,0.8912781479831482,53672,53,1,10,9059,17,1,Own,Masters,Single,13,0.285976
1741,302,0.8137936750743464,106107,65,0,14,18381,7,4,Mortgage,PhD,Married,5,0.29923263
1742,411,0.5407247757336403,51819,81,4,1,3296,18,28,Rent,PhD,Married,18,0.2890227
1743,581,0.17364718062982365,154812,19,6,9,11660,1,29,Rent,PhD,Married,5,0.2605972
1744,389,0.7499436140556348,187114,53,9,9,2390,17,21,Mortgage,PhD,Married,19,0.25108913
1745,476,0.008447847160680921,28531,69,6,2,17598,18,15,Own,Masters,Widowed,7,0.18580338
1746,665,0.7004104747582185,178195,18,3,10,10689,11,20,Own,Masters,Married,10,0.22617744
1747,587,0.27215779290221753,76743,87,0,14,6449,12,24,Own,PhD,Divorced,21,0.30108318
1748,331,0.9910831885444259,29144,57,7,1,16356,19,19,Mortgage,Masters,Single,24,0.25977698
1749,703,0.2803149256857942,141162,54,4,7,5122,16,7,Rent,PhD,Married,12,0.27325353
1750,618,0.36196362959521255,120145,26,4,18,10546,15,29,Own,High School,Single,23,0.25338292
1751,739,0.1735325602379738,164741,35,1,1,17534,4,5,Mortgage,Masters,Single,25,0.1941422
1752,562,0.4694284829158285,98597,82,8,14,9469,4,6,Own,Masters,Married,12,0.26645443
1753,766,0.23738809330077626,120206,65,6,10,5091,2,1,Mortgage,PhD,Married,4,0.24930091
1754,676,0.27945078363862996,34330,26,8,4,13786,7,9,Rent,PhD,Single,6,0.2793762
1755,756,0.009189067295041098,58341,47,0,11,12203,9,0,Rent,High School,Divorced,26,0.21226758
1756,701,0.1669780774429841,67744,32,6,15,14700,4,18,Rent,Masters,Married,0,0.1944922
1757,653,0.34708170644743075,138876,81,5,17,10502,11,22,Rent,High School,Married,17,0.22646143
1758,478,0.1188277902110042,67692,69,8,12,4354,2,25,Own,Masters,Widowed,13,0.19330604
1759,653,0.5322997195609805,157608,68,3,19,8946,11,4,Mortgage,Masters,Divorced,8,0.21444073
1760,624,0.9199020917834784,168488,25,0,11,9951,6,3,Rent,Masters,Married,14,0.17234582
1761,704,0.6701429095275248,35054,73,2,15,6570,16,7,Own,Masters,Widowed,12,0.24684553
1762,645,0.019633150050890724,109394,84,3,13,14678,10,8,Mortgage,High School,Divorced,16,0.17588924
1763,650,0.5713359223208767,30875,39,6,6,17239,16,11,Rent,Masters,Widowed,28,0.0
1764,743,0.7534719971783843,20263,19,4,2,7818,5,8,Own,Bachelor,Widowed,4,0.20402946
1765,351,0.7358126319392464,87016,18,2,4,8064,3,21,Own,PhD,Single,7,0.26549453
1766,716,0.058320872125396384,45827,66,7,5,3063,6,18,Mortgage,Masters,Widowed,9,0.0
1767,580,0.5149826009831899,61905,54,8,1,4380,10,27,Mortgage,PhD,Single,10,0.23065525
1768,739,0.05531225033449971,80574,34,7,15,15745,0,26,Own,Bachelor,Divorced,3,0.21229182
1769,347,0.6443278651119168,168636,83,1,3,11677,2,25,Mortgage,Bachelor,Widowed,21,0.31316626
1770,342,0.5461089451322839,83877,81,6,3,13316,14,20,Rent,Bachelor,Single,7,0.29003468
1771,528,0.5293203502780279,140418,18,8,2,15170,14,10,Mortgage,Masters,Widowed,7,0.0
1772,667,0.7323416923279699,199102,46,1,8,1070,0,28,Rent,PhD,Married,18,0.31561935
1773,598,0.934413646457939,66767,19,3,4,9118,0,0,Rent,PhD,Married,26,0.27763727
1774,650,0.07462251296549538,34404,74,6,12,10940,0,4,Mortgage,PhD,Married,11,0.2876326
1775,315,0.21297569049306042,68376,62,8,14,14936,8,22,Own,Bachelor,Married,29,0.31935635
1776,810,0.5864055782035232,113298,36,1,11,9879,3,6,Mortgage,High School,Divorced,3,0.22102824
1777,419,0.02452976491047998,128222,56,4,15,14491,1,28,Own,High School,Divorced,9,0.19445913
1778,823,0.13552841185452547,102880,19,7,1,16293,13,4,Mortgage,Masters,Married,4,0.15818667
1779,773,0.22007154890537028,104908,84,1,3,10320,19,26,Rent,High School,Widowed,29,0.1705825
1780,721,0.16254308037599186,112352,86,9,13,5172,19,12,Rent,Masters,Widowed,13,0.0
1781,311,0.7801786948742531,105982,49,7,10,16946,14,6,Mortgage,Bachelor,Single,18,0.29927993
1782,692,0.123823300023015,133193,73,5,12,14415,6,9,Own,High School,Divorced,14,0.1848153
1783,504,0.6955164642223558,136517,55,5,0,7093,4,9,Own,Bachelor,Divorced,21,0.267337
1784,327,0.6756701863834321,55341,37,9,4,4715,9,18,Own,Masters,Divorced,4,0.17871444
1785,800,0.7855146407270337,63830,23,8,3,1520,2,25,Rent,PhD,Single,17,0.2986822
1786,744,0.39743996224133793,133690,54,6,1,19052,5,26,Own,High School,Divorced,18,0.1976947
1787,621,0.8290252793397427,116672,83,2,18,10381,14,7,Rent,High School,Widowed,13,0.21545014
1788,669,0.21755335675237442,25396,69,6,15,14565,17,19,Mortgage,PhD,Married,29,0.30376145
1789,596,0.36505917574889324,107313,66,0,18,9842,17,23,Mortgage,Masters,Divorced,4,0.25602564
1790,427,0.8857349691447222,132174,46,3,11,17817,4,6,Own,High School,Single,10,0.27266186
1791,579,0.6469379882447345,60055,18,1,16,7754,10,27,Rent,PhD,Divorced,2,0.2896239
1792,304,0.42925797122036324,85625,37,4,5,15882,10,18,Rent,PhD,Married,13,0.26977146
1793,336,0.43440344720802415,147405,42,6,1,2295,12,11,Mortgage,Bachelor,Single,24,0.2573316
1794,672,0.11094297077177429,56105,82,5,6,7723,4,19,Rent,PhD,Single,28,0.2702592
1795,368,0.07190166341741533,152190,34,3,0,12680,8,18,Mortgage,High School,Divorced,18,0.17762879
1796,755,0.22841819327803636,84159,18,9,12,10677,14,2,Mortgage,High School,Single,21,0.19048868
1797,397,0.41268753224209176,133510,64,5,17,10962,18,18,Own,High School,Married,10,0.2840242
1798,619,0.18425801631625904,160377,46,7,13,5510,14,0,Mortgage,PhD,Widowed,21,0.15660755
1799,815,0.046650372916946736,80853,31,7,13,18654,3,25,Rent,PhD,Married,2,0.27377507
1800,772,0.5731746099589573,197815,40,5,17,7415,2,5,Mortgage,Masters,Divorced,2,0.16815364
1801,372,0.8555610313416584,81427,55,5,13,1040,4,2,Own,PhD,Widowed,29,0.2467748
1802,720,0.5302810772742523,90364,74,7,16,4717,17,1,Rent,Bachelor,Divorced,9,0.26930022
1803,659,0.5838158147679621,155399,42,4,10,11371,7,16,Mortgage,PhD,Single,20,0.24523602
1804,486,0.7441095115845782,178663,40,7,2,3844,18,14,Own,PhD,Widowed,2,0.2243794
1805,509,0.2648987359043188,150086,53,6,0,14900,2,16,Mortgage,Bachelor,Single,23,0.26411337
1806,479,0.5495148651839084,111133,67,0,1,4714,14,7,Mortgage,PhD,Single,25,0.26398927
1807,661,0.22801173052249202,140635,35,3,15,11344,3,15,Mortgage,Bachelor,Married,6,0.26291496
1808,567,0.9241299594879684,44237,35,4,0,8865,15,23,Rent,PhD,Widowed,27,0.24934737
1809,510,0.5097894708949502,96625,72,7,16,12059,18,10,Rent,Masters,Divorced,20,0.20677112
1810,310,0.04281394262105043,45792,80,0,19,16049,17,8,Rent,Masters,Single,16,0.24272655
1811,796,0.3341634067468583,70117,89,3,17,11196,13,23,Mortgage,Masters,Married,19,0.3180026
1812,819,0.4474301088317997,97537,87,6,0,18339,5,5,Rent,PhD,Widowed,2,0.16737641
1813,440,0.2885471442673806,191239,35,6,15,16380,17,2,Mortgage,PhD,Divorced,17,0.20158833
1814,680,0.5680750449428782,63367,77,1,6,16625,0,12,Own,Masters,Divorced,19,0.25730968
1815,767,0.14815831449413785,38764,54,7,5,11466,15,29,Mortgage,High School,Single,4,0.2032442
1816,511,0.07863235802856572,31733,22,4,2,11616,8,27,Mortgage,PhD,Widowed,0,0.17399816
1817,795,0.12776346550101259,92089,77,5,12,2408,5,2,Mortgage,High School,Widowed,5,0.0
1818,561,0.700836586522279,185547,45,5,2,7335,19,25,Own,PhD,Divorced,17,0.26675928
1819,366,0.9166008139533228,91409,18,9,6,3638,18,0,Mortgage,High School,Single,4,0.21271636
1820,625,0.9448647366447243,188836,41,1,10,7179,16,16,Mortgage,Masters,Single,10,0.26945543
1821,570,0.3556898264334656,152914,81,9,16,5704,12,11,Own,High School,Widowed,22,0.1877064
1822,476,0.11757872812260028,48644,85,8,14,6248,18,11,Rent,Masters,Widowed,28,0.1541222
1823,506,0.19997191606273523,58125,41,3,13,11703,19,23,Rent,PhD,Widowed,27,0.17709738
1824,795,0.11271989245639058,138087,71,9,12,2609,6,3,Mortgage,Bachelor,Married,29,0.33271292
1825,717,0.9793308775808935,160384,78,1,0,13071,3,19,Mortgage,Bachelor,Divorced,26,0.31646755
1826,701,0.8887938319547692,49066,88,8,3,2218,11,3,Own,Masters,Divorced,3,0.22927767
1827,458,0.3555209292649648,184025,50,2,18,17227,18,4,Rent,Bachelor,Divorced,11,0.2504005
1828,344,0.37443225518018264,100120,23,5,18,12978,19,11,Rent,PhD,Married,19,0.2707407
1829,706,0.9087930491701204,162719,65,2,0,6510,13,6,Own,High School,Single,5,0.23491961
1830,485,0.9184925190662626,177744,60,0,10,13112,7,6,Own,Masters,Widowed,13,0.22209124
1831,593,0.6870703232691371,131742,50,9,3,13602,5,2,Mortgage,Bachelor,Divorced,3,0.16945608
1832,711,0.6408934514424448,58609,39,9,12,2275,15,0,Mortgage,Masters,Widowed,3,0.15875594
1833,752,0.36223450910503974,60414,45,0,9,13814,14,25,Own,PhD,Single,2,0.2960537
1834,360,0.5957950385598594,135834,72,9,1,9872,10,7,Own,Bachelor,Married,7,0.26088044
1835,434,0.17597865513463073,44099,29,9,16,4237,11,1,Rent,Masters,Divorced,12,0.16415678
1836,689,0.5824519046374396,178393,70,5,6,15767,4,16,Rent,Bachelor,Divorced,23,0.2491779
1837,514,0.6856509967997481,44606,81,5,5,16632,8,6,Rent,Bachelor,Single,28,0.29323226
1838,685,0.8163541477684552,47570,60,2,2,14467,17,14,Rent,PhD,Widowed,3,0.22838137
1839,760,0.6612735048098392,118532,55,8,6,10296,3,5,Own,PhD,Widowed,19,0.1955194
1840,314,0.637335480341212,178470,75,0,10,9818,18,13,Own,Bachelor,Married,25,0.3385138
1841,587,0.40942181425597424,165087,29,0,19,14403,11,16,Mortgage,PhD,Married,12,0.26976267
1842,337,0.3732011097526613,193710,64,6,2,7778,5,19,Rent,High School,Married,23,0.21355677
1843,448,0.9647284563720735,39926,74,6,9,4361,14,15,Rent,PhD,Married,9,0.31024012
1844,684,0.30775766928384063,153775,57,7,3,14584,1,20,Own,PhD,Divorced,21,0.2440193
1845,594,0.577746125075255,194647,21,4,0,16088,10,23,Rent,Masters,Single,6,0.18550447
1846,616,0.08485054057271124,175124,74,7,18,7105,11,2,Own,High School,Divorced,0,0.19574389
1847,739,0.4807572352742365,108686,87,8,11,4122,9,18,Mortgage,Bachelor,Divorced,24,0.28648275
1848,509,0.8570551071160087,147779,80,7,15,18246,18,10,Rent,Bachelor,Married,12,0.311748
1849,341,0.6217287961680735,71256,20,5,12,13144,8,11,Rent,Masters,Widowed,11,0.15114243
1850,527,0.5577187063103767,106768,19,0,15,6907,16,8,Rent,Masters,Married,26,0.22105257
1851,782,0.865096738354614,68100,40,9,19,2471,11,21,Mortgage,Bachelor,Divorced,9,0.27123436
1852,759,0.16781083381716877,21799,37,0,6,4932,6,14,Mortgage,Bachelor,Divorced,17,0.28189576
1853,839,0.3929406446398934,41849,30,5,2,11195,19,9,Mortgage,Masters,Single,13,0.2087903
1854,422,0.6101678252366527,89077,87,9,4,15943,9,29,Mortgage,Masters,Divorced,9,0.2066671
1855,607,0.2662611483129107,116075,46,7,15,7151,14,26,Rent,High School,Married,6,0.210656
1856,848,0.20113791922920699,191150,37,3,1,17627,1,5,Mortgage,High School,Married,15,0.20000403
1857,461,0.9137709351743861,72186,72,0,14,9973,17,28,Own,PhD,Widowed,0,0.31064072
1858,715,0.4598788232058967,22833,55,5,2,17599,10,20,Own,Bachelor,Single,1,0.2830906
1859,768,0.45725766299764503,58766,40,9,18,19491,3,15,Mortgage,PhD,Divorced,29,0.22625382
1860,450,0.45557028302044067,151767,51,7,8,17884,0,16,Mortgage,Masters,Widowed,23,0.15336168
1861,661,0.7779421178978929,116010,39,2,10,17074,7,1,Rent,Masters,Widowed,25,0.0
1862,701,0.47777605393644107,30085,89,1,14,5795,17,1,Mortgage,High School,Divorced,0,0.23770979
1863,681,0.05525140777823345,39956,44,3,9,4752,19,28,Rent,Masters,Divorced,29,0.193745
1864,488,0.8511275903156389,91036,22,6,1,15765,0,17,Rent,PhD,Single,13,0.26511833
1865,521,0.8830022704977686,166639,64,6,7,6399,18,22,Mortgage,Bachelor,Married,0,0.31401107
1866,515,0.02953293044483918,59278,73,2,13,3443,12,7,Mortgage,Bachelor,Divorced,28,0.25705263
1867,739,0.08717746194251763,186793,28,1,12,13184,3,13,Mortgage,High School,Divorced,14,0.17790282
1868,394,0.2831273866778494,70172,23,7,12,17200,3,11,Rent,Masters,Divorced,14,0.0
1869,437,0.4088708125578182,138154,66,6,1,11155,7,29,Mortgage,PhD,Married,16,0.2580033
1870,640,0.044798193211366355,27378,69,0,9,13906,8,8,Own,Masters,Married,12,0.2883203
1871,829,0.2818360118659251,171394,80,6,7,9008,0,5,Rent,PhD,Single,0,0.20602301
1872,540,0.6488060099439925,20394,74,9,12,7580,5,16,Own,Bachelor,Married,10,0.36922705
1873,327,0.98353777363771,184347,39,7,4,2761,15,11,Own,Masters,Widowed,11,0.20222989
1874,648,0.20700371653453065,187215,38,5,6,14551,2,4,Rent,Bachelor,Married,13,0.21717058
1875,602,0.2184523850305815,143080,64,2,4,13342,13,26,Own,PhD,Widowed,6,0.24799953
1876,520,0.7562166494168561,87793,73,7,1,6046,13,15,Rent,High School,Single,19,0.25301218
1877,643,0.6328775726950342,118292,82,4,17,17598,15,27,Own,Bachelor,Divorced,26,0.3224729
1878,450,0.11526064175416018,26976,78,6,9,13476,9,20,Own,Masters,Married,14,0.2849035
1879,590,0.35588925311012354,27014,20,0,17,7494,11,13,Rent,PhD,Married,7,0.28729025
1880,607,0.8686022146301803,25211,61,1,16,7339,16,0,Own,High School,Married,13,0.3322808
1881,495,0.3535203148923879,162442,58,1,18,5854,6,10,Mortgage,Bachelor,Single,13,0.30694902
1882,501,0.6580218073527851,172000,55,2,11,8473,2,15,Rent,High School,Divorced,20,0.2551977
1883,327,0.8019385018010903,37535,69,6,15,16384,19,9,Rent,Masters,Married,15,0.25728798
1884,691,0.9397862724749082,64348,57,8,3,9057,11,7,Rent,Bachelor,Widowed,2,0.17897747
1885,786,0.526487666025855,60567,41,5,11,4570,12,18,Rent,High School,Married,20,0.24688111
1886,606,0.930550687173401,115964,18,1,4,17885,9,26,Mortgage,Bachelor,Widowed,22,0.25238034
1887,634,0.20779749989589003,154437,49,7,3,12546,11,1,Mortgage,High School,Widowed,5,0.0
1888,446,0.4238337314437438,71868,36,0,7,13866,13,29,Own,Bachelor,Single,9,0.2929033
1889,451,0.1682528199597878,38764,61,5,0,13968,14,7,Mortgage,Bachelor,Divorced,26,0.22551937
1890,373,0.39063961542106684,181850,31,6,11,19099,19,6,Mortgage,High School,Widowed,23,0.19498323
1891,580,0.8425869671024894,177416,81,7,12,13227,6,3,Mortgage,Bachelor,Married,20,0.33667505
1892,736,0.14396518152286664,131655,51,7,4,14688,18,16,Own,High School,Widowed,18,0.0
1893,737,0.09275484110817944,89409,55,1,7,2604,1,9,Rent,PhD,Single,6,0.24346311
1894,838,0.5485935147643426,122514,60,4,9,14478,6,24,Mortgage,High School,Married,28,0.30647323
1895,585,0.07541503401486271,52401,59,4,7,11953,6,15,Mortgage,Masters,Single,17,0.2296944
1896,309,0.3523915683646067,140620,29,6,7,3013,9,22,Mortgage,Bachelor,Widowed,29,0.23575154
1897,558,0.019173357781614775,50977,59,6,10,6125,1,19,Rent,PhD,Married,27,0.30221534
1898,452,0.527140168434246,74063,33,3,13,11935,18,5,Rent,High School,Single,4,0.26873392
1899,650,0.41744068521795485,25785,62,4,9,9774,11,5,Own,PhD,Divorced,18,0.2819568
1900,737,0.7380136223776957,142483,26,8,18,7149,1,3,Mortgage,PhD,Widowed,17,0.17556682
1901,374,0.8507683820823042,20845,52,5,9,14608,19,29,Own,PhD,Widowed,17,0.28102884
1902,808,0.8296951721486517,104833,38,2,6,12932,17,12,Mortgage,Bachelor,Divorced,16,0.2602403
1903,660,0.528600521933857,103892,22,2,0,5698,8,19,Rent,Bachelor,Divorced,16,0.257834
1904,695,0.6498097580168918,110355,33,8,10,12806,6,22,Own,High School,Divorced,13,0.21407837
1905,607,0.9492282469184772,135127,36,7,8,19202,0,13,Mortgage,High School,Divorced,3,0.17992881
1906,361,0.48124144411803704,139493,58,0,17,13015,8,7,Mortgage,PhD,Divorced,13,0.27127972
1907,656,0.5440362957049466,165370,45,0,4,1553,17,15,Own,Masters,Single,3,0.27619046
1908,441,0.46239349359807635,27079,56,1,6,19236,16,14,Own,PhD,Married,11,0.3264889
1909,839,0.18177694413190448,171288,42,3,6,7442,6,10,Mortgage,PhD,Divorced,23,0.21222904
1910,831,0.4531298032662774,122790,59,1,4,14040,3,9,Own,High School,Married,19,0.24467066
1911,345,0.8482426770203281,37487,61,9,8,17743,11,22,Rent,High School,Divorced,10,0.22925524
1912,450,0.26368779742395143,79309,38,7,0,18629,19,20,Own,High School,Divorced,29,0.21913293
1913,494,0.4774619300565367,89400,66,3,11,8536,2,29,Own,Bachelor,Married,25,0.3455309
1914,340,0.5574793591359046,24613,45,0,9,15105,16,27,Mortgage,Masters,Single,10,0.27475208
