ID,CreditScore,DebtRatio,Assets,Age,NumberOfDependents,NumberOfOpenCreditLinesAndLoans,MonthlyIncome,NumberOfTimesPastDue,EmploymentLength,HomeOwnership,Education,MaritalStatus,YearsAtCurrentAddress,NewLoanApplication
10275,620,0.5660500594918558,156188,30,6,5,19669,13,11,Mortgage,High School,Divorced,12,118014.0
10276,753,0.0903068722426763,106445,62,8,8,15416,17,14,Rent,High School,Widowed,29,308320.0
10277,592,0.2790227696389956,110757,63,4,5,16964,9,3,Own,High School,Widowed,12,322316.0
10278,567,0.2559246404543662,85410,50,9,8,4428,1,3,Mortgage,Masters,Widowed,19,22140.0
10279,798,0.4010397382844137,145994,79,5,13,4744,14,16,Rent,Masters,Widowed,24,61672.0
10280,538,0.3351492976920408,185890,33,3,14,11931,5,20,Rent,Masters,Divorced,19,143172.0
10281,456,0.6654825385766813,24035,62,8,12,13943,12,2,Mortgage,Masters,Widowed,17,181259.0
10282,832,0.1479096541977698,75171,48,1,4,17878,3,9,Mortgage,Masters,Widowed,2,214536.0
10283,744,0.0544513613368576,105274,48,8,19,11913,14,0,Mortgage,Bachelor,Widowed,10,214434.0
10284,701,0.4191700712727865,154105,58,1,11,9667,18,20,Rent,High School,Widowed,12,67669.0
10285,764,0.0782403539268384,55324,47,2,1,5587,0,13,Rent,Masters,Widowed,9,39109.0
10286,653,0.2319556739092905,94842,19,8,7,6384,0,9,Own,High School,Widowed,18,19152.0
10287,636,0.8734768729600114,170582,25,9,4,10600,7,14,Own,Masters,Widowed,29,159000.0
10288,433,0.1688087051199935,82115,41,1,2,4215,0,2,Rent,High School,Widowed,9,29505.0
10289,672,0.4376393147037211,107626,73,7,11,2338,7,29,Rent,High School,Widowed,16,32732.0
10290,628,0.5035325362823829,146487,44,6,8,15976,8,3,Mortgage,High School,Widowed,24,239640.0
10291,639,0.2644662232566083,189286,83,6,9,13930,10,18,Rent,PhD,Widowed,18,139300.0
10292,809,0.1338588718714854,91998,71,9,13,2522,19,8,Mortgage,Masters,Widowed,24,25220.0
10293,844,0.3598776358162916,90596,30,3,1,9498,6,3,Mortgage,PhD,Widowed,18,132972.0
10294,444,0.1755000315825896,119635,31,8,18,9316,15,9,Rent,Masters,Single,6,111792.0
10295,738,0.080570550663289,182961,67,3,19,9519,0,15,Own,High School,Widowed,25,142785.0
10296,840,0.5544802484403546,127341,54,6,14,1956,17,9,Rent,Masters,Widowed,7,15648.0
10297,634,0.0505455828433781,121007,39,1,18,8216,8,9,Rent,Masters,Married,22,123240.0
10298,687,0.700546388159266,163393,47,3,14,17745,0,19,Rent,Masters,Widowed,2,35490.0
10299,634,0.2090041349227677,51862,81,3,9,19764,4,12,Rent,High School,Widowed,11,59292.0
10300,637,0.2429698898006356,77744,40,0,16,12342,14,26,Rent,High School,Widowed,12,209814.0
10301,642,0.2354277362720596,194192,30,8,1,19938,4,14,Own,High School,Widowed,3,79752.0
10302,840,0.5949714265260786,107324,54,9,0,6005,9,19,Rent,High School,Widowed,18,24020.0
10303,416,0.2425829784295629,195093,37,9,15,14806,4,9,Rent,Masters,Married,7,177672.0
10304,635,0.0856592608686375,167079,30,6,3,17219,2,27,Own,Masters,Single,18,361599.0
10305,555,0.1691214188830544,62014,60,8,9,10136,6,19,Rent,Bachelor,Widowed,1,192584.0
10306,732,0.5293984852353579,48768,70,8,0,7419,1,6,Own,High School,Divorced,2,148380.0
10307,337,0.1314002807258232,57425,31,3,1,9737,2,0,Own,Masters,Widowed,22,165529.0
10308,843,0.4452381349989597,140410,22,2,13,4778,15,6,Mortgage,High School,Widowed,18,57336.0
10309,550,0.5062362143036565,34724,19,2,2,5521,18,16,Own,High School,Widowed,29,88336.0
10310,305,0.1282472368588418,27893,58,5,13,18253,13,11,Rent,Masters,Widowed,0,109518.0
10311,467,0.3633949091779618,110470,63,8,13,8012,14,11,Mortgage,High School,Widowed,16,32048.0
10312,711,0.6854185459638037,118712,37,5,8,9834,2,23,Mortgage,High School,Widowed,12,29502.0
10313,819,0.5280978502324892,111045,60,1,7,8794,1,9,Mortgage,Masters,Widowed,29,35176.0
10314,805,0.8401936117582732,160635,53,8,2,3170,5,7,Rent,Masters,Divorced,5,28530.0
10315,633,0.3282635270661861,70124,28,5,10,10999,16,25,Rent,Masters,Widowed,14,120989.0
10316,839,0.1312555743962757,187702,26,5,0,7869,8,9,Rent,High School,Widowed,5,78690.0
10317,784,0.3340513857630176,115060,51,7,4,14791,8,5,Rent,Masters,Widowed,2,266238.0
10318,575,0.1360806978430077,41682,57,9,8,7314,5,19,Rent,Masters,Widowed,26,36570.0
10319,699,0.3393965830051342,67016,60,0,16,19876,17,5,Rent,Masters,Widowed,8,178884.0
10320,622,0.4356757301904979,37232,36,7,8,11705,15,26,Rent,High School,Widowed,22,210690.0
10321,327,0.0554513622156525,70925,34,9,12,12727,8,21,Rent,Masters,Divorced,20,63635.0
10322,824,0.2249943339772819,170436,75,6,8,14624,0,22,Mortgage,PhD,Widowed,7,58496.0
10323,489,0.3531166693764014,158443,22,3,1,2325,2,24,Rent,Masters,Widowed,6,44175.0
10324,818,0.1994095749697837,140448,44,5,7,8848,0,20,Rent,Bachelor,Widowed,10,159264.0
10325,589,0.3243649883350969,55491,63,9,2,18281,3,12,Mortgage,Masters,Divorced,11,73124.0
10326,595,0.3843940142978892,159570,86,9,13,2176,9,11,Own,High School,Widowed,1,21760.0
10327,320,0.0635154122476121,25075,38,5,7,1196,6,19,Mortgage,High School,Divorced,18,23920.0
10328,776,0.4205209466448786,187973,30,7,4,5794,12,2,Own,High School,Single,8,52146.0
10329,693,0.0289397152384279,73684,59,4,0,12216,2,20,Mortgage,Bachelor,Widowed,9,146592.0
10330,673,0.1156196769667265,103261,60,6,14,15450,12,23,Mortgage,PhD,Widowed,23,339900.0
10331,752,0.9107685013972164,161136,83,6,9,2093,0,8,Rent,High School,Widowed,14,18837.0
10332,812,0.1439456911962903,179676,22,6,9,4680,16,3,Own,High School,Widowed,21,14040.0
10333,717,0.2133517951275785,168375,26,7,10,12300,3,12,Mortgage,Masters,Divorced,1,49200.0
10334,757,0.2950009614185732,64446,41,6,17,17197,0,25,Rent,Masters,Divorced,6,137576.0
10335,689,0.1310757171577732,189065,46,6,5,16745,2,2,Own,High School,Widowed,17,83725.0
10336,361,0.4580132006709969,73719,34,9,8,12459,14,8,Mortgage,Masters,Single,13,199344.0
10337,689,0.7491085505222805,91763,41,0,14,18966,2,13,Rent,Masters,Widowed,26,341388.0
10338,339,0.3131986925877645,49391,31,2,6,12798,16,2,Rent,Masters,Widowed,23,89586.0
10339,594,0.2031509206110281,186173,71,4,12,2905,10,22,Rent,High School,Widowed,15,46480.0
10340,665,0.3091467689118898,67639,48,8,0,17608,11,3,Rent,High School,Widowed,27,264120.0
10341,358,0.1193896787353502,20082,27,9,11,9768,8,3,Mortgage,Masters,Single,28,175824.0
10342,746,0.624298725215921,131712,26,7,4,13761,12,22,Mortgage,High School,Widowed,15,68805.0
10343,360,0.3694259521617492,26986,35,1,16,15809,15,6,Own,Masters,Widowed,20,237135.0
10344,662,0.9697327565869648,82873,60,5,12,16372,3,0,Rent,Masters,Widowed,29,163720.0
10345,788,0.132086510010329,164509,48,9,3,18185,3,27,Own,High School,Divorced,10,327330.0
10346,733,0.6008485431731359,47358,82,3,4,7755,18,0,Rent,Masters,Widowed,0,77550.0
10347,754,0.0630293168877644,93965,60,5,10,6016,14,6,Mortgage,High School,Widowed,25,66176.0
10348,752,0.3465111336855802,167417,29,7,14,14672,7,16,Rent,Masters,Widowed,12,176064.0
10349,357,0.3157768738939535,42046,72,7,2,17632,1,4,Rent,Masters,Married,19,123424.0
10350,793,0.0097820511345129,114747,22,8,14,9010,14,8,Mortgage,Masters,Widowed,7,99110.0
10351,592,0.3133704168418351,134371,87,3,3,4965,10,3,Rent,High School,Widowed,24,14895.0
10352,489,0.7347852103535717,166106,29,5,1,12358,1,5,Own,High School,Widowed,13,49432.0
10353,610,0.1558479624208305,198521,58,8,2,6973,10,27,Own,High School,Widowed,14,62757.0
10354,705,0.9545009762329432,140452,25,8,6,1230,13,3,Mortgage,Masters,Widowed,3,23370.0
10355,403,0.2724108326562175,55397,83,9,5,17172,13,12,Rent,Masters,Widowed,24,240408.0
10356,819,0.0886805457517706,42238,22,7,16,7821,8,9,Mortgage,Masters,Widowed,25,125136.0
10357,706,0.13563723321194,85407,42,3,18,6991,6,13,Rent,Masters,Divorced,25,34955.0
10358,837,0.0733632518599233,126944,81,0,8,9522,12,24,Mortgage,High School,Widowed,12,199962.0
10359,677,0.0550606114189681,153520,62,2,0,4286,10,7,Own,High School,Widowed,26,42860.0
10360,461,0.146540418776271,146019,80,7,10,12011,16,10,Rent,Masters,Widowed,2,240220.0
10361,537,0.9423241086041324,153501,31,4,9,6195,0,6,Rent,Masters,Widowed,12,117705.0
10362,846,0.3581438023186625,119864,83,2,15,10921,3,8,Mortgage,High School,Widowed,19,76447.0
10363,359,0.3398528298018389,38414,64,1,3,12573,4,1,Own,High School,Widowed,18,276606.0
10364,788,0.2717280667206765,69272,49,0,13,10955,19,2,Rent,Bachelor,Widowed,15,153370.0
10365,775,0.0690079143887099,105451,80,5,18,7393,8,8,Rent,Bachelor,Widowed,23,36965.0
10366,602,0.0470983346191057,169607,20,7,3,18166,8,22,Rent,High School,Divorced,2,36332.0
10367,368,0.1897681462107644,33679,68,8,12,4442,7,14,Own,High School,Widowed,25,84398.0
10368,566,0.670790723449354,60159,79,8,0,4333,11,9,Own,High School,Widowed,3,17332.0
10369,388,0.695752755764874,38135,24,9,5,16190,12,0,Mortgage,Masters,Widowed,11,145710.0
10370,823,0.6795955089566378,88531,43,0,6,6930,8,1,Rent,High School,Widowed,2,69300.0
10371,325,0.0230970829214485,159616,35,0,8,10418,5,2,Rent,High School,Married,1,104180.0
10372,544,0.4923780594332299,167232,47,8,5,1498,9,5,Mortgage,High School,Widowed,11,19474.0
10373,676,0.7687461088914361,143470,88,6,14,6802,1,4,Rent,Masters,Widowed,29,136040.0
10374,302,0.0437044908073318,139650,37,3,4,3110,11,1,Mortgage,High School,Widowed,2,9330.0
10375,592,0.3473893747923193,133062,76,9,6,3508,2,12,Own,High School,Widowed,23,38588.0
10376,714,0.0506244982948149,173873,66,8,19,15427,3,10,Rent,Masters,Single,6,339394.0
10377,723,0.170662140322539,198131,80,9,7,6491,2,7,Own,Masters,Widowed,16,103856.0
10378,673,0.669828871557815,199240,38,6,17,8518,18,9,Rent,Masters,Widowed,16,187396.0
10379,619,0.5487292934479051,166663,56,1,18,13956,12,8,Rent,Masters,Widowed,20,83736.0
10380,521,0.3676882929948928,35688,49,9,18,11774,2,16,Rent,Bachelor,Widowed,13,47096.0
10381,618,0.0788535791654737,154275,23,7,3,15374,12,13,Own,High School,Single,11,199862.0
10382,457,0.715356507712254,186305,35,8,3,5345,11,11,Own,Masters,Divorced,3,16035.0
10383,742,0.0535339647361408,172205,50,5,1,9460,4,14,Own,High School,Single,3,28380.0
10384,620,0.5448342068157916,137859,73,8,19,19687,2,5,Rent,Bachelor,Widowed,2,393740.0
10385,625,0.1421935834475235,143404,32,1,19,19648,18,29,Rent,High School,Divorced,9,353664.0
10386,404,0.1044173205943227,103177,59,5,0,11712,2,21,Mortgage,Masters,Divorced,12,35136.0
10387,801,0.0139318374822825,30096,45,8,5,5659,1,5,Own,Bachelor,Widowed,14,84885.0
10388,542,0.3766850037839215,126570,53,9,8,5770,3,3,Mortgage,Bachelor,Widowed,17,23080.0
10389,701,0.7228064957684504,33199,41,4,0,18482,14,15,Rent,Masters,Widowed,5,203302.0
10390,321,0.5652362855875587,175328,69,8,5,2710,2,3,Rent,High School,Widowed,3,21680.0
10391,685,0.0824550373179013,144717,74,2,10,3639,2,6,Rent,Masters,Widowed,12,65502.0
10392,613,0.6877086463600056,179610,45,6,3,18121,12,0,Own,Bachelor,Widowed,2,36242.0
10393,801,0.4473905516219166,148478,56,6,1,8689,13,19,Mortgage,Masters,Widowed,12,182469.0
10394,637,0.2287438531031993,45814,18,9,7,13199,13,20,Rent,Masters,Divorced,19,79194.0
10395,520,0.2086808625397562,153385,37,2,17,10059,4,2,Rent,Bachelor,Widowed,8,211239.0
10396,612,0.4530717550378198,198549,27,5,6,18512,4,7,Rent,Bachelor,Widowed,23,129584.0
10397,801,0.43759655483027,183990,78,2,3,2294,0,9,Mortgage,Masters,Widowed,10,22940.0
10398,767,0.1017008145038689,116797,28,1,19,1820,14,13,Own,High School,Widowed,9,14560.0
10399,492,0.0049150845358437,176047,88,7,17,15948,17,25,Rent,High School,Widowed,6,175428.0
10400,649,0.987810565520883,197456,26,3,14,17798,8,0,Rent,Masters,Married,3,284768.0
10401,520,0.1888088276974021,135647,66,9,1,1201,7,22,Mortgage,Masters,Widowed,0,21618.0
10402,651,0.3200879487025095,188602,21,0,5,9327,10,1,Own,High School,Widowed,16,93270.0
10403,561,0.0996613948076154,110920,47,7,12,6027,7,14,Rent,Bachelor,Widowed,15,114513.0
10404,727,0.7326348885542041,134553,36,8,5,18761,1,4,Rent,High School,Widowed,17,150088.0
10405,469,0.3803302849548945,199439,76,0,15,12949,11,0,Rent,High School,Widowed,22,246031.0
10406,321,0.0693688077061027,149819,59,3,2,15276,2,22,Rent,High School,Widowed,14,183312.0
10407,801,0.476629964059262,52494,54,8,16,4276,10,6,Rent,Masters,Widowed,13,89796.0
10408,555,0.3081751568844761,190839,35,0,0,18841,3,2,Rent,Bachelor,Widowed,16,131887.0
10409,608,0.325260265579451,158235,39,6,17,12932,7,12,Mortgage,High School,Widowed,26,258640.0
10410,794,0.0997293983346677,173812,48,1,14,10940,12,18,Rent,Masters,Divorced,4,240680.0
10411,584,0.5880569977396541,192285,83,0,18,10251,11,1,Rent,Masters,Widowed,5,30753.0
10412,640,0.4086727142235937,131423,58,7,10,9085,5,8,Mortgage,Masters,Widowed,5,72680.0
10413,303,0.8613875998646343,174493,47,6,10,16462,9,3,Rent,Masters,Widowed,8,296316.0
10414,530,0.4205341415836877,91911,58,8,3,9600,17,23,Rent,Masters,Widowed,2,28800.0
10415,638,0.0641897747089069,167499,36,4,19,15591,10,6,Rent,Masters,Single,28,124728.0
10416,414,0.6239517645685398,133942,19,6,6,9588,0,21,Rent,Masters,Widowed,3,105468.0
10417,696,0.1962340264032305,175484,24,9,10,11725,18,23,Mortgage,Masters,Widowed,4,105525.0
10418,847,0.1922198676214852,93323,48,9,19,19948,13,24,Own,High School,Widowed,7,398960.0
10419,808,0.7157447907213077,118001,41,8,16,15502,1,24,Rent,High School,Widowed,15,46506.0
10420,511,0.0589120793153926,185898,25,4,7,14730,5,27,Own,High School,Widowed,13,29460.0
10421,472,0.1823467604393172,60911,75,7,4,8148,19,5,Rent,High School,Divorced,1,179256.0
10422,765,0.7332235699058937,120949,32,0,16,6412,1,5,Rent,Masters,Widowed,8,38472.0
10423,835,0.2271956347642936,35396,26,0,2,3164,18,5,Own,High School,Widowed,22,47460.0
10424,760,0.2665507292335559,163940,67,9,16,5232,3,7,Rent,Masters,Single,9,94176.0
10425,731,0.535352560899012,194077,25,8,10,12225,5,17,Rent,Bachelor,Widowed,2,146700.0
10426,429,0.0423047590492118,99273,70,2,12,4142,14,2,Rent,Bachelor,Widowed,18,49704.0
10427,467,0.3127947004695703,36962,19,7,6,18994,2,13,Rent,Bachelor,Widowed,23,303904.0
10428,584,0.3391164299205945,62435,50,4,17,12443,7,29,Rent,High School,Widowed,1,186645.0
10429,838,0.2578750846458929,167276,55,3,14,13566,3,1,Own,PhD,Widowed,19,108528.0
10430,370,0.5285050241495974,158018,47,7,0,5802,2,25,Rent,Masters,Widowed,4,116040.0
10431,719,0.3442098467842418,65924,34,0,18,7295,10,6,Mortgage,High School,Widowed,17,102130.0
10432,612,0.0556065433935658,178092,73,7,17,11066,19,28,Mortgage,High School,Divorced,5,210254.0
10433,574,0.8946983304030193,181876,37,8,8,19442,10,15,Mortgage,Masters,Widowed,3,369398.0
10434,821,0.5152789463596866,184948,84,4,16,13499,8,11,Rent,Masters,Widowed,4,107992.0
10435,510,0.202391557288087,61438,46,8,2,10363,3,6,Rent,High School,Widowed,0,31089.0
10436,680,0.1486737019959365,142506,53,2,14,14411,11,14,Mortgage,Masters,Widowed,2,273809.0
10437,720,0.1760636648553372,22627,88,9,3,19383,7,19,Rent,High School,Widowed,18,310128.0
10438,669,0.3956242047355673,114668,20,3,0,17861,17,26,Rent,Masters,Widowed,9,214332.0
10439,442,0.0875082807925793,134982,72,9,4,12696,2,24,Mortgage,High School,Widowed,2,63480.0
10440,511,0.4080208932562498,52939,55,1,13,16954,8,10,Rent,High School,Widowed,8,254310.0
10441,428,0.0757836609080979,58773,40,7,16,9367,17,13,Rent,High School,Widowed,25,37468.0
10442,817,0.2555713286728738,90656,37,7,8,2929,6,5,Own,High School,Widowed,16,23432.0
10443,622,0.8214571809649666,183137,79,9,0,16624,6,16,Rent,PhD,Widowed,9,299232.0
10444,849,0.5704998247776613,83898,61,9,0,4220,6,20,Mortgage,High School,Widowed,11,59080.0
10445,635,0.1619979412698114,26160,67,2,19,18756,7,1,Mortgage,High School,Widowed,13,356364.0
10446,428,0.1860139320045956,28742,81,1,9,3099,6,14,Rent,Bachelor,Widowed,12,49584.0
10447,640,0.3957249514768005,188916,32,8,8,18580,16,24,Mortgage,High School,Divorced,0,111480.0
10448,786,0.9708317078714482,152925,30,7,11,15435,8,11,Own,High School,Widowed,5,61740.0
10449,533,0.4467076006471048,183013,46,4,7,8546,0,7,Own,Masters,Widowed,22,170920.0
10450,513,0.3392267913471234,143070,36,8,14,12355,2,29,Mortgage,Masters,Widowed,2,135905.0
10451,752,0.3706306140108935,173141,58,1,17,4485,4,3,Own,High School,Widowed,10,58305.0
10452,613,0.0748846351459066,38485,65,8,4,14241,10,26,Mortgage,High School,Divorced,8,85446.0
10453,762,0.2729592222611551,153774,51,7,13,19480,19,2,Rent,Bachelor,Widowed,2,214280.0
10454,312,0.0459664202330303,172088,36,5,7,15298,8,25,Own,High School,Widowed,7,91788.0
10455,330,0.1451933708683316,75579,47,9,7,10278,15,0,Rent,Bachelor,Widowed,19,30834.0
10456,829,0.9076652635821691,106044,39,2,0,10788,1,5,Mortgage,Bachelor,Widowed,3,97092.0
10457,789,0.3182993533668209,183353,65,8,15,14905,12,21,Rent,Masters,Widowed,18,163955.0
10458,692,0.3258314670592346,147584,59,5,3,4945,7,13,Rent,Bachelor,Widowed,9,93955.0
10459,623,0.1599591665905858,182712,88,3,3,14016,3,13,Rent,High School,Widowed,8,224256.0
10460,462,0.1042593793269222,79930,61,9,7,11404,1,16,Mortgage,High School,Divorced,10,125444.0
10461,501,0.5017199407682497,160401,23,7,4,7646,0,2,Rent,Masters,Widowed,0,99398.0
10462,517,0.376120864029865,140610,66,8,8,1824,3,11,Rent,Masters,Widowed,17,32832.0
10463,430,0.03663049224499,81557,33,6,10,17974,19,20,Rent,PhD,Widowed,28,125818.0
10464,314,0.1256563276895625,187985,72,8,7,8357,19,0,Rent,Masters,Widowed,14,41785.0
10465,814,0.391696261467287,24142,79,9,18,12964,12,3,Mortgage,PhD,Widowed,28,272244.0
10466,775,0.1682651069617942,165508,55,2,16,5515,13,6,Rent,High School,Widowed,16,82725.0
10467,544,0.3075676040901561,90183,21,5,0,6655,5,0,Rent,Bachelor,Widowed,19,19965.0
10468,645,0.0783655880854401,165933,31,0,2,12246,3,29,Rent,Masters,Widowed,28,122460.0
10469,696,0.9580919372268836,184263,40,6,7,16973,6,0,Mortgage,Masters,Widowed,2,288541.0
10470,414,0.6054892077909041,78667,19,7,6,14933,7,26,Rent,Masters,Divorced,12,104531.0
10471,486,0.4235794271146672,147431,41,5,0,19849,0,3,Rent,Masters,Widowed,15,416829.0
10472,847,0.419592782867402,116297,39,2,10,9046,18,2,Rent,High School,Widowed,13,63322.0
10473,474,0.5504136143312379,41810,83,9,5,3696,3,12,Mortgage,Masters,Divorced,2,44352.0
10474,625,0.0435115177983643,199961,37,6,16,11121,3,20,Rent,High School,Widowed,26,88968.0
10475,745,0.3645371073133077,171966,30,7,7,1119,7,15,Rent,PhD,Widowed,16,17904.0
10476,387,0.3435455705716628,41722,65,7,2,13363,12,13,Own,High School,Widowed,15,120267.0
10477,630,0.3761492482672369,179064,68,4,7,16972,15,7,Rent,PhD,Widowed,13,169720.0
10478,340,0.1214593428231359,60358,20,8,7,14226,3,23,Mortgage,PhD,Widowed,5,284520.0
10479,822,0.2232215364283806,27231,18,5,16,1580,19,7,Mortgage,Masters,Widowed,27,17380.0
10480,592,0.0290148340207432,153738,27,8,19,17464,1,12,Mortgage,Masters,Divorced,16,34928.0
10481,670,0.0522633494078488,195919,23,1,1,4717,14,11,Rent,Masters,Widowed,12,70755.0
10482,456,0.4477119889798555,142230,57,6,11,5093,13,0,Rent,PhD,Widowed,9,101860.0
10483,755,0.3542275843996244,91415,35,8,11,1028,7,7,Mortgage,High School,Widowed,2,21588.0
10484,608,0.3076053370191632,187117,75,4,5,5751,0,22,Rent,PhD,Widowed,15,34506.0
10485,799,0.3299628256966038,133611,39,4,0,17374,18,0,Mortgage,PhD,Widowed,18,330106.0
10486,763,0.8567479263761084,73811,35,5,8,2519,6,3,Mortgage,High School,Widowed,6,32747.0
10487,575,0.452241748992396,192713,69,9,2,2165,9,14,Rent,PhD,Widowed,1,34640.0
10488,615,0.2644375407043089,98089,43,8,18,16781,9,20,Rent,High School,Widowed,17,117467.0
10489,810,0.2822730588402211,183055,39,6,1,13323,9,26,Rent,Bachelor,Widowed,9,159876.0
10490,709,0.4031293630201568,53502,19,6,1,3981,10,6,Rent,Masters,Widowed,13,79620.0
10491,649,0.6610336724687379,25165,48,1,0,19885,2,7,Rent,Masters,Widowed,26,198850.0
10492,780,0.807178881407125,129076,54,3,0,8165,6,13,Mortgage,PhD,Widowed,3,73485.0
10493,347,0.5801545784362885,98123,46,0,2,14597,4,9,Own,Masters,Widowed,1,291940.0
10494,607,0.4530177676586214,92500,25,1,12,3858,2,8,Mortgage,Masters,Widowed,27,15432.0
10495,768,0.3809735185352767,49098,62,9,2,18593,17,9,Mortgage,Masters,Widowed,1,278895.0
10496,843,0.799434513340952,73289,27,2,3,7782,6,24,Mortgage,High School,Widowed,14,54474.0
10497,601,0.0523873633325491,145658,20,2,11,15440,16,0,Own,PhD,Widowed,25,185280.0
10498,823,0.9427052632296808,189487,78,5,0,10108,7,4,Own,High School,Widowed,19,30324.0
10499,523,0.6441241182917177,36313,88,5,5,11522,6,3,Rent,Masters,Widowed,0,57610.0
10500,344,0.0458331574176044,141480,54,1,13,17097,5,6,Rent,PhD,Widowed,2,239358.0
10501,805,0.3088085006308002,102312,52,8,2,19183,6,19,Rent,Masters,Widowed,8,191830.0
10502,378,0.0949633328790051,46164,44,8,2,15078,9,10,Mortgage,High School,Widowed,23,211092.0
10503,613,0.1704644939280047,109993,56,8,7,15674,14,26,Mortgage,PhD,Widowed,8,172414.0
10504,328,0.0184392065117181,57687,18,5,12,15821,1,7,Rent,Masters,Married,1,332241.0
10505,483,0.367783522662556,105987,54,7,5,9723,2,8,Mortgage,Bachelor,Widowed,0,29169.0
10506,738,0.9423344712801478,171796,20,4,4,16230,7,15,Mortgage,Masters,Divorced,6,308370.0
10507,395,0.0846403236879408,186695,28,8,10,13528,9,2,Mortgage,High School,Widowed,23,229976.0
10508,628,0.4266961077553842,51882,60,5,11,13701,18,8,Rent,High School,Widowed,18,41103.0
10509,848,0.080624164261346,43360,51,1,4,11753,9,7,Mortgage,Masters,Widowed,7,58765.0
10510,785,0.7145127606062892,36844,35,6,1,12047,2,5,Mortgage,Masters,Married,1,156611.0
10511,452,0.1608831844538335,196720,53,1,11,5424,6,6,Rent,Masters,Single,1,21696.0
10512,701,0.2412979534521443,165954,34,7,10,9220,4,11,Rent,Masters,Single,16,147520.0
10513,633,0.0860286765782031,163403,50,5,7,12492,12,10,Own,High School,Widowed,14,99936.0
10514,643,0.063198229218418,189524,52,4,4,19212,8,12,Rent,High School,Widowed,16,57636.0
10515,642,0.0409356004450407,138830,89,3,2,10149,7,3,Rent,High School,Single,7,121788.0
10516,666,0.7424561960169651,100445,43,2,0,7156,7,15,Rent,Masters,Widowed,11,128808.0
10517,476,0.3394912449545458,163232,56,8,4,14849,2,1,Own,Masters,Married,10,282131.0
10518,508,0.0749217234274033,77249,43,6,8,12700,5,24,Rent,High School,Widowed,26,177800.0
10519,400,0.7341341798508386,80454,41,5,8,7539,0,5,Own,Masters,Widowed,14,37695.0
10520,394,0.9984248043708424,198561,53,7,3,5111,9,0,Rent,Masters,Widowed,19,51110.0
10521,346,0.5699676778494611,140858,42,2,10,18564,8,0,Rent,Masters,Widowed,2,315588.0
10522,512,0.5385383751378383,190159,29,7,4,18974,9,11,Own,Masters,Single,4,189740.0
10523,638,0.0239578485347302,150754,47,6,5,9509,18,9,Rent,PhD,Widowed,18,76072.0
10524,482,0.0029833085295419,188934,27,0,3,18186,11,10,Mortgage,High School,Widowed,8,254604.0
10525,828,0.4005391270726717,72599,47,8,4,9229,9,24,Rent,Masters,Widowed,23,184580.0
10526,559,0.5811592951550808,50475,32,4,7,5716,10,13,Mortgage,High School,Widowed,11,22864.0
10527,830,0.0059210069550881,138881,69,9,7,16661,16,0,Rent,Masters,Widowed,7,216593.0
10528,841,0.9142335248220712,195700,47,6,0,9029,19,13,Rent,PhD,Widowed,12,198638.0
10529,748,0.6566794486081912,106575,52,9,16,9168,1,17,Rent,High School,Widowed,6,165024.0
10530,438,0.4300923511624034,95260,48,7,5,11358,8,10,Mortgage,Masters,Widowed,20,215802.0
10531,457,0.2514426894088869,33195,22,8,15,11980,19,21,Mortgage,Masters,Widowed,13,251580.0
10532,430,0.3158641945913071,66071,54,6,13,14576,1,1,Mortgage,Bachelor,Widowed,8,116608.0
10533,816,0.1381488608216394,46212,53,2,14,1904,12,1,Rent,PhD,Widowed,2,34272.0
10534,703,0.5038858155428152,32008,51,8,5,9428,14,7,Mortgage,High School,Divorced,4,188560.0
10535,821,0.3228883985638644,120542,31,5,5,9270,0,10,Mortgage,High School,Widowed,2,101970.0
10536,776,0.2020625843857598,133893,30,8,13,1002,1,1,Own,PhD,Widowed,8,19038.0
10537,443,0.4556989580406669,165866,27,7,4,12699,11,15,Mortgage,Masters,Widowed,1,279378.0
10538,623,0.0911494364382414,145853,69,6,17,16284,15,8,Rent,Masters,Divorced,4,211692.0
10539,790,0.6852299357703203,57341,39,8,10,5575,17,3,Mortgage,Masters,Widowed,23,50175.0
10540,831,0.5300079773488741,151557,51,5,2,11612,12,0,Mortgage,Masters,Single,5,209016.0
10541,500,0.2729408831857849,74560,45,6,10,19986,5,0,Mortgage,Masters,Widowed,27,139902.0
10542,610,0.0316418357069847,149486,80,7,18,19506,2,23,Mortgage,PhD,Widowed,20,312096.0
10543,846,0.5172984919580395,73297,21,7,1,14699,15,28,Rent,High School,Widowed,5,29398.0
10544,629,0.000978905216039,157295,64,3,19,18559,13,19,Rent,Bachelor,Widowed,28,111354.0
10545,756,0.3441805276151312,191206,54,5,3,11030,11,25,Own,High School,Widowed,1,220600.0
10546,602,0.1057612448196352,162760,19,3,11,17062,10,16,Rent,High School,Widowed,14,358302.0
10547,835,0.5114538931771041,94494,87,9,7,1507,11,16,Mortgage,Masters,Widowed,3,31647.0
10548,723,0.3342295505632138,45244,73,1,12,7180,11,2,Mortgage,Masters,Widowed,26,150780.0
10549,801,0.4663012547905222,162334,60,9,2,17119,5,3,Rent,Masters,Widowed,3,85595.0
10550,700,0.3049420887715691,192942,57,5,6,19318,9,4,Own,Bachelor,Widowed,17,289770.0
10551,707,0.6143429452743533,67763,87,8,13,10834,12,18,Mortgage,High School,Widowed,4,216680.0
