employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,datesurvey,jobinvolvement,performancerating,surveydate,attrition,retirementdate,retirementtype,resignationreason,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,infodate
436,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-06-26 00:00:00,Fired,Activo,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2016-12-31 00:00:00
436,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-26 00:00:00,Fired,Activo,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2015-12-31 00:00:00
436,3.0,4.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-06-26 00:00:00,Fired,Activo,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1.0,12,1,16.0,2,16,3,2016-12-31 00:00:00
438,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-25 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2015-12-31 00:00:00
438,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-25 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2016-12-31 00:00:00
438,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-25 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2015-12-31 00:00:00
438,1.0,3.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-25 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5.0,14,0,17.0,3,14,11,2016-12-31 00:00:00
443,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-12-12 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2015-12-31 00:00:00
443,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2015-12-31 00:00:00,Yes,2016-12-12 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2016-12-31 00:00:00
443,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-12-12 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2015-12-31 00:00:00
443,4.0,3.0,3.0,2015-12-31 00:00:00,1,3,2016-12-31 00:00:00,Yes,2016-12-12 00:00:00,Resignation,Salary,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4.0,14,1,7.0,2,1,0,2016-12-31 00:00:00
449,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2015-12-31 00:00:00
449,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2016-12-31 00:00:00
449,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2015-12-31 00:00:00
449,2.0,2.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4.0,15,0,22.0,2,1,0,2016-12-31 00:00:00
452,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-11-06 00:00:00,Resignation,Others,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2015-12-31 00:00:00
452,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-11-06 00:00:00,Resignation,Others,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2016-12-31 00:00:00
452,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-11-06 00:00:00,Resignation,Others,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2015-12-31 00:00:00
452,3.0,1.0,3.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-11-06 00:00:00,Resignation,Others,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0.0,21,0,4.0,2,3,1,2016-12-31 00:00:00
454,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-09-10 00:00:00,Resignation,Others,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2015-12-31 00:00:00
454,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-09-10 00:00:00,Resignation,Others,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2016-12-31 00:00:00
454,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-09-10 00:00:00,Resignation,Others,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2015-12-31 00:00:00
454,4.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-09-10 00:00:00,Resignation,Others,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6.0,11,1,3.0,2,0,0,2016-12-31 00:00:00
463,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-19 00:00:00,Resignation,Stress,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2015-12-31 00:00:00
463,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-02-19 00:00:00,Resignation,Stress,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2016-12-31 00:00:00
463,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-19 00:00:00,Resignation,Stress,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2015-12-31 00:00:00
463,1.0,3.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-02-19 00:00:00,Resignation,Stress,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4.0,12,0,7.0,5,5,0,2016-12-31 00:00:00
468,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-01 00:00:00,Resignation,Stress,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2015-12-31 00:00:00
468,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-05-01 00:00:00,Resignation,Stress,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2016-12-31 00:00:00
468,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-01 00:00:00,Resignation,Stress,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2015-12-31 00:00:00
468,3.0,2.0,1.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-05-01 00:00:00,Resignation,Stress,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1.0,13,3,5.0,1,4,0,2016-12-31 00:00:00
474,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-11-14 00:00:00,Fired,Activo,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2015-12-31 00:00:00
474,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-11-14 00:00:00,Fired,Activo,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2016-12-31 00:00:00
474,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-11-14 00:00:00,Fired,Activo,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2015-12-31 00:00:00
474,4.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-11-14 00:00:00,Fired,Activo,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1.0,17,1,1.0,3,1,0,2016-12-31 00:00:00
475,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-13 00:00:00,Resignation,Others,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2015-12-31 00:00:00
475,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-13 00:00:00,Resignation,Others,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2016-12-31 00:00:00
475,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-13 00:00:00,Resignation,Others,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2015-12-31 00:00:00
475,2.0,2.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-13 00:00:00,Resignation,Others,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0.0,11,0,4.0,3,3,1,2016-12-31 00:00:00
487,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-09-21 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2015-12-31 00:00:00
487,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-09-21 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2016-12-31 00:00:00
487,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-09-21 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2015-12-31 00:00:00
487,1.0,2.0,1.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-09-21 00:00:00,Resignation,Others,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5.0,11,1,15.0,2,1,0,2016-12-31 00:00:00
491,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-27 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2015-12-31 00:00:00
491,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-27 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2016-12-31 00:00:00
491,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-27 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2015-12-31 00:00:00
491,2.0,1.0,3.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-27 00:00:00,Resignation,Others,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8.0,17,1,7.0,4,2,2,2016-12-31 00:00:00
492,1.0,4.0,3.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-10-18 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,2015-12-31 00:00:00
492,1.0,4.0,3.0,2015-12-31 00:00:00,4,3,2015-12-31 00:00:00,Yes,2016-10-18 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,2016-12-31 00:00:00
492,1.0,4.0,3.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-10-18 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,2015-12-31 00:00:00
492,1.0,4.0,3.0,2015-12-31 00:00:00,4,3,2016-12-31 00:00:00,Yes,2016-10-18 00:00:00,Resignation,Others,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1.0,13,1,33.0,2,32,6,2016-12-31 00:00:00
495,3.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-10 00:00:00,Resignation,Others,36,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1.0,18,0,18.0,3,17,15,2015-12-31 00:00:00
495,3.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-05-10 00:00:00,Resignation,Others,36,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1.0,18,0,18.0,3,17,15,2016-12-31 00:00:00
495,3.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-10 00:00:00,Resignation,Others,36,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1.0,18,0,18.0,3,17,15,2015-12-31 00:00:00
495,3.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-05-10 00:00:00,Resignation,Others,36,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1.0,18,0,18.0,3,17,15,2016-12-31 00:00:00
504,1.0,3.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-10 00:00:00,Resignation,Stress,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7.0,12,0,9.0,3,1,0,2015-12-31 00:00:00
504,1.0,3.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-10 00:00:00,Resignation,Stress,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7.0,12,0,9.0,3,1,0,2016-12-31 00:00:00
504,1.0,3.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-10 00:00:00,Resignation,Stress,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7.0,12,0,9.0,3,1,0,2015-12-31 00:00:00
504,1.0,3.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-10 00:00:00,Resignation,Stress,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7.0,12,0,9.0,3,1,0,2016-12-31 00:00:00
505,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-01 00:00:00,Resignation,Salary,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6.0,14,2,6.0,2,3,1,2015-12-31 00:00:00
505,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-01 00:00:00,Resignation,Salary,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6.0,14,2,6.0,2,3,1,2016-12-31 00:00:00
505,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-01 00:00:00,Resignation,Salary,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6.0,14,2,6.0,2,3,1,2015-12-31 00:00:00
505,1.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-01 00:00:00,Resignation,Salary,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6.0,14,2,6.0,2,3,1,2016-12-31 00:00:00
519,4.0,4.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Others,20,Travel_Frequently,Sales,8,3,Marketing,Male,3,Sales Executive,Single,34640,1.0,20,0,2.0,3,2,0,2015-12-31 00:00:00
519,4.0,4.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Others,20,Travel_Frequently,Sales,8,3,Marketing,Male,3,Sales Executive,Single,34640,1.0,20,0,2.0,3,2,0,2016-12-31 00:00:00
519,4.0,4.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Others,20,Travel_Frequently,Sales,8,3,Marketing,Male,3,Sales Executive,Single,34640,1.0,20,0,2.0,3,2,0,2015-12-31 00:00:00
519,4.0,4.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-05-02 00:00:00,Resignation,Others,20,Travel_Frequently,Sales,8,3,Marketing,Male,3,Sales Executive,Single,34640,1.0,20,0,2.0,3,2,0,2016-12-31 00:00:00
520,3.0,1.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-26 00:00:00,Resignation,Salary,21,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1.0,18,0,1.0,2,1,1,2015-12-31 00:00:00
520,3.0,1.0,2.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-02-26 00:00:00,Resignation,Salary,21,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1.0,18,0,1.0,2,1,1,2016-12-31 00:00:00
520,3.0,1.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-26 00:00:00,Resignation,Salary,21,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1.0,18,0,1.0,2,1,1,2015-12-31 00:00:00
520,3.0,1.0,2.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-02-26 00:00:00,Resignation,Salary,21,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Manager,Single,57750,1.0,18,0,1.0,2,1,1,2016-12-31 00:00:00
522,1.0,3.0,4.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,51,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,192720,9.0,20,0,18.0,2,10,2,2015-12-31 00:00:00
522,1.0,3.0,4.0,2015-12-31 00:00:00,3,4,2015-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,51,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,192720,9.0,20,0,18.0,2,10,2,2016-12-31 00:00:00
522,1.0,3.0,4.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,51,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,192720,9.0,20,0,18.0,2,10,2,2015-12-31 00:00:00
522,1.0,3.0,4.0,2015-12-31 00:00:00,3,4,2016-12-31 00:00:00,Yes,2016-10-22 00:00:00,Resignation,Others,51,Travel_Rarely,Sales,23,3,Medical,Female,2,Research Scientist,Married,192720,9.0,20,0,18.0,2,10,2,2016-12-31 00:00:00
523,2.0,1.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-03 00:00:00,Fired,Activo,28,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1.0,17,1,10.0,4,10,1,2015-12-31 00:00:00
523,2.0,1.0,2.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-11-03 00:00:00,Fired,Activo,28,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1.0,17,1,10.0,4,10,1,2016-12-31 00:00:00
523,2.0,1.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-03 00:00:00,Fired,Activo,28,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1.0,17,1,10.0,4,10,1,2015-12-31 00:00:00
523,2.0,1.0,2.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-11-03 00:00:00,Fired,Activo,28,Non-Travel,Research & Development,19,4,Life Sciences,Female,4,Laboratory Technician,Single,52380,1.0,17,1,10.0,4,10,1,2016-12-31 00:00:00
532,2.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-21 00:00:00,Resignation,Others,44,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,9.0,15,0,24.0,3,20,3,2015-12-31 00:00:00
532,2.0,1.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-07-21 00:00:00,Resignation,Others,44,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,9.0,15,0,24.0,3,20,3,2016-12-31 00:00:00
532,2.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-21 00:00:00,Resignation,Others,44,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,9.0,15,0,24.0,3,20,3,2015-12-31 00:00:00
532,2.0,1.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-07-21 00:00:00,Resignation,Others,44,Travel_Rarely,Research & Development,18,4,Life Sciences,Female,2,Sales Executive,Married,21190,9.0,15,0,24.0,3,20,3,2016-12-31 00:00:00
534,4.0,1.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-03-06 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0.0,21,1,9.0,3,8,4,2015-12-31 00:00:00
534,4.0,1.0,3.0,2015-12-31 00:00:00,2,4,2015-12-31 00:00:00,Yes,2016-03-06 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0.0,21,1,9.0,3,8,4,2016-12-31 00:00:00
534,4.0,1.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-03-06 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0.0,21,1,9.0,3,8,4,2015-12-31 00:00:00
534,4.0,1.0,3.0,2015-12-31 00:00:00,2,4,2016-12-31 00:00:00,Yes,2016-03-06 00:00:00,Resignation,Others,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,3,Sales Representative,Single,61180,0.0,21,1,9.0,3,8,4,2016-12-31 00:00:00
535,1.0,3.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-02 00:00:00,Resignation,Salary,33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1.0,19,2,14.0,3,13,3,2015-12-31 00:00:00
535,1.0,3.0,3.0,2015-12-31 00:00:00,3,3,2015-12-31 00:00:00,Yes,2016-12-02 00:00:00,Resignation,Salary,33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1.0,19,2,14.0,3,13,3,2016-12-31 00:00:00
535,1.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-02 00:00:00,Resignation,Salary,33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1.0,19,2,14.0,3,13,3,2015-12-31 00:00:00
535,1.0,3.0,3.0,2015-12-31 00:00:00,3,3,2016-12-31 00:00:00,Yes,2016-12-02 00:00:00,Resignation,Salary,33,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,1,Sales Executive,Single,62140,1.0,19,2,14.0,3,13,3,2016-12-31 00:00:00
539,4.0,4.0,4.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-01-08 00:00:00,Resignation,Stress,25,Travel_Rarely,Human Resources,25,4,Human Resources,Female,2,Research Scientist,Married,82680,1.0,12,0,7.0,3,7,5,2015-12-31 00:00:00
539,4.0,4.0,4.0,2015-12-31 00:00:00,2,3,2015-12-31 00:00:00,Yes,2016-01-08 00:00:00,Resignation,Stress,25,Travel_Rarely,Human Resources,25,4,Human Resources,Female,2,Research Scientist,Married,82680,1.0,12,0,7.0,3,7,5,2016-12-31 00:00:00
539,4.0,4.0,4.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-01-08 00:00:00,Resignation,Stress,25,Travel_Rarely,Human Resources,25,4,Human Resources,Female,2,Research Scientist,Married,82680,1.0,12,0,7.0,3,7,5,2015-12-31 00:00:00
539,4.0,4.0,4.0,2015-12-31 00:00:00,2,3,2016-12-31 00:00:00,Yes,2016-01-08 00:00:00,Resignation,Stress,25,Travel_Rarely,Human Resources,25,4,Human Resources,Female,2,Research Scientist,Married,82680,1.0,12,0,7.0,3,7,5,2016-12-31 00:00:00
